ax,ay,az,gx,gy,gz,dt
0.0676,0.0058,1.0002,0.2591,0.5259,-0.5640,0.012000
0.0683,0.0035,0.9998,0.2896,0.5412,-0.6479,0.012000
0.0716,0.0044,1.0009,0.3277,0.5335,-0.5640,0.012000
0.0701,0.0049,1.0002,0.2973,0.4878,-0.4878,0.012000
0.0649,0.0024,0.9993,0.2439,0.5335,-0.5564,0.012000
0.0676,0.0044,0.9996,0.2210,0.4573,-0.4649,0.012000
0.0696,0.0079,1.0012,0.2058,0.4802,-0.5564,0.012000
0.0693,0.0067,1.0010,0.2439,0.5107,-0.5335,0.012000
0.0693,0.0070,1.0006,0.2820,0.6326,-0.5640,0.012000
0.0696,0.0051,0.9995,0.2287,0.5793,-0.5869,0.012000
0.0688,0.0044,0.9980,0.1829,0.5945,-0.5869,0.012000
0.0682,0.0031,0.9973,0.3659,0.7470,-0.6250,0.012000
0.0688,0.0033,1.0011,0.3887,0.8765,-0.6479,0.012000
0.0687,0.0061,1.0009,0.3582,0.9451,-0.6098,0.012000
0.0675,0.0070,0.9990,0.3277,0.7851,-0.6174,0.012000
0.0651,0.0076,0.9992,0.2820,0.5412,-0.6479,0.012000
0.0680,0.0078,1.0019,0.2744,0.5716,-0.5335,0.012000
0.0652,0.0072,1.0011,0.2287,0.4573,-0.5030,0.012000
0.0678,0.0059,1.0020,0.2515,0.4116,-0.5107,0.012000
0.0693,0.0026,1.0012,0.2973,0.2668,-0.4726,0.012000
0.0685,0.0046,1.0016,0.2210,0.3430,-0.4573,0.012000
0.0707,0.0057,1.0002,0.2744,0.6250,-0.6098,0.012000
0.0701,0.0052,0.9987,0.2287,0.6326,-0.5945,0.012000
0.0687,0.0051,0.9965,0.2591,0.6555,-0.6402,0.012000
0.0679,0.0080,1.0002,0.3735,0.6479,-0.5945,0.012000
0.0670,0.0072,1.0005,0.3430,0.7317,-0.5030,0.012000
0.0657,0.0073,1.0012,0.3049,0.6326,-0.6555,0.012000
0.0681,0.0048,1.0001,0.3277,0.5030,-0.5488,0.012000
0.0694,0.0048,0.9996,0.3659,0.5183,-0.5640,0.012000
0.0691,0.0035,0.9992,0.2820,0.5030,-0.6098,0.012000
0.0705,0.0054,1.0013,0.2896,0.5412,-0.6021,0.012000
0.0703,0.0056,0.9991,0.2439,0.5564,-0.6250,0.012000
0.0674,0.0045,0.9995,0.2287,0.6098,-0.5335,0.012000
0.0675,0.0046,1.0011,0.2439,0.5716,-0.5716,0.012000
0.0679,0.0065,1.0010,0.2973,0.6326,-0.6098,0.012000
0.0674,0.0047,1.0014,0.3430,0.5945,-0.6174,0.012000
0.0684,0.0068,1.0001,0.3659,0.5716,-0.5259,0.012000
0.0701,0.0046,1.0009,0.2591,0.5869,-0.5412,0.012000
0.0695,0.0042,0.9988,0.2668,0.6402,-0.6250,0.012000
0.0699,0.0056,0.9990,0.2287,0.5030,-0.5259,0.012000
0.0674,0.0025,0.9996,0.4192,0.5716,-0.6631,0.012000
0.0688,0.0051,1.0007,0.3430,0.5564,-0.5335,0.012000
0.0678,0.0062,1.0017,0.2820,0.4878,-0.5945,0.012000
0.0690,0.0052,1.0011,0.2439,0.4878,-0.6402,0.012000
